,date,close,diff,open,high,low,volume
438,2018.10.24,77700,3800,83000,83900,75400,3335431
437,2018.10.25,75500,2200,74500,76700,71400,4162679
436,2018.10.26,70200,5300,77200,77200,70200,3717405
433,2018.10.29,68700,1500,70600,72300,67000,4153231
432,2018.10.30,71500,2800,68700,71700,67900,4142992
431,2018.10.31,68900,2600,72300,72500,68300,2424842
430,2018.11.01,69000,100,70000,71400,68600,1839282
429,2018.11.02,76000,7000,70800,76900,70200,3371093
425,2018.11.05,76900,900,77500,78700,75700,2339659
424,2018.11.06,74800,2100,77200,77300,73500,1880017
423,2018.11.07,76200,1400,75200,77800,74000,2177460
422,2018.11.08,75600,600,78600,79200,75600,1627742
421,2018.11.09,72200,3400,75200,75600,71300,1486946
418,2018.11.12,65600,6600,69800,70100,65500,2869552
417,2018.11.13,67700,2100,64200,68300,63500,3029453
416,2018.11.14,69100,1400,67400,72000,66500,2900457
415,2018.11.15,71000,1900,70000,71700,68300,1762926
414,2018.11.16,71700,700,71400,73700,71000,1740396
410,2018.11.19,75800,4100,72500,75900,72300,1954191
409,2018.11.20,72000,3800,74400,75500,71800,1915486
408,2018.11.21,72000,0,70100,72900,68600,2201457
407,2018.11.22,71600,400,72300,73800,70700,1143191
406,2018.11.23,70800,800,71600,73700,70500,1063366
403,2018.11.26,72900,2100,71500,73500,71300,1055003
402,2018.11.27,73100,200,74100,74800,72200,1000194
401,2018.11.28,72400,700,73500,73700,72100,679949
400,2018.11.29,70500,1900,74300,74300,70500,1011528
399,2018.11.30,70700,200,70900,71700,70000,665775
395,2018.12.03,77600,6900,72400,77900,71800,3131233
394,2018.12.04,78200,600,77400,80100,76600,2503392
393,2018.12.05,82200,4000,76800,82400,76400,2512966
392,2018.12.06,76900,5300,81100,81800,76800,2401743
391,2018.12.07,80200,3300,78400,81500,78100,2473374
388,2018.12.10,81800,1600,78500,82900,77600,2333404
387,2018.12.11,77500,4300,82300,82900,77100,2287223
386,2018.12.12,80100,2600,78300,80200,77900,1218077
385,2018.12.13,80800,700,80100,81700,78500,1642763
384,2018.12.14,79000,1800,80300,82800,77400,2162227
380,2018.12.17,75200,3800,78700,78900,70900,3681972
379,2018.12.18,73600,1600,72900,76100,72500,1593682
378,2018.12.19,75600,2000,74500,77200,73700,1901530
377,2018.12.20,74200,1400,75100,77700,73600,2106914
376,2018.12.21,73800,400,74100,75800,73600,1239270
373,2018.12.24,71200,2600,73400,73700,71200,1490316
372,2018.12.26,73500,2300,68600,73500,68500,3110194
